https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1637553600000,2021-11-22 04:00:00,LTC/USD,215.11,220.0,205.47,210.68,17212.1471806,3626255.1680088085
1637467200000,2021-11-21 04:00:00,LTC/USD,221.92,230.73,213.62,215.11,15717.0665765,3380898.191270915
1637380800000,2021-11-20 04:00:00,LTC/USD,221.67,228.0,213.16,221.92,16994.998065,3771529.9705847995
1637294400000,2021-11-19 04:00:00,LTC/USD,202.0,225.23,201.97,221.67,21664.4706284,4802363.204197427
1637208000000,2021-11-18 04:00:00,LTC/USD,221.82,221.82,199.69,202.0,22572.4715107,4559639.2451614
1637121600000,2021-11-17 04:00:00,LTC/USD,222.83,235.42,218.39,221.82,23292.5383244,5166750.851118408
1637035200000,2021-11-16 04:00:00,LTC/USD,244.77,249.18,219.97,222.83,48661.8179077,10843312.884372791
1636948800000,2021-11-15 04:00:00,LTC/USD,278.63,281.34,240.19,244.77,38024.4373476,9307241.529572051
1636862400000,2021-11-14 04:00:00,LTC/USD,255.79,279.84,248.61,278.63,24626.1935276,6861596.302595188
1636776000000,2021-11-13 04:00:00,LTC/USD,246.69,264.07,245.17,255.79,12130.7386266,3102921.633298014
1636689600000,2021-11-12 04:00:00,LTC/USD,275.87,275.87,245.54,246.69,8406.8772443,2073892.547396367
1636603200000,2021-11-11 04:00:00,LTC/USD,257.25,282.83,252.53,275.87,55549.5929868,15324466.217268517
1636516800000,2021-11-10 04:00:00,LTC/USD,257.42,295.26,250.82,257.25,127210.7286859,32724959.954447776
1636430400000,2021-11-09 04:00:00,LTC/USD,247.47,274.69,241.62,257.42,106902.2096918,27518766.818863157
1636344000000,2021-11-08 04:00:00,LTC/USD,205.8,247.56,205.8,247.47,61747.9103589,15280755.376516983
1636257600000,2021-11-07 04:00:00,LTC/USD,199.43,208.03,197.66,205.8,13221.4103027,2720966.24029566
1636171200000,2021-11-06 04:00:00,LTC/USD,200.29,200.35,191.35,199.43,13149.2518385,2622355.294152055
1636084800000,2021-11-05 04:00:00,LTC/USD,201.14,203.37,196.91,200.29,17064.1483589,3417778.2748040813
1635998400000,2021-11-04 04:00:00,LTC/USD,203.6,204.08,197.24,201.14,13900.891736,2796025.3637790396
1635912000000,2021-11-03 04:00:00,LTC/USD,201.54,209.39,197.53,203.6,37079.9877317,7549485.502174119
1635825600000,2021-11-02 04:00:00,LTC/USD,195.96,204.94,195.55,201.54,23602.0852574,4756764.262776395
1635739200000,2021-11-01 04:00:00,LTC/USD,188.89,201.12,188.15,195.96,24043.0696451,4711479.927653796
1635652800000,2021-10-31 04:00:00,LTC/USD,192.75,194.0,186.98,188.89,15186.9605097,2868664.970677233
1635566400000,2021-10-30 04:00:00,LTC/USD,191.77,195.22,188.66,192.75,13609.1927384,2623171.9003266
1635480000000,2021-10-29 04:00:00,LTC/USD,193.05,198.75,189.23,191.77,18272.1191263,3504044.2848505513
1635393600000,2021-10-28 04:00:00,LTC/USD,182.04,194.55,181.04,193.05,34842.0974279,6726266.9084560955
1635307200000,2021-10-27 04:00:00,LTC/USD,202.48,202.48,177.81,182.04,4129.0656628,751655.1132561119
1635220800000,2021-10-26 04:00:00,LTC/USD,196.65,204.99,190.39,202.48,30967.5977371,6270319.189808008
1635134400000,2021-10-25 04:00:00,LTC/USD,193.84,197.26,193.01,196.65,13206.9319645,2597143.170818925
1635048000000,2021-10-24 04:00:00,LTC/USD,198.31,198.54,185.43,193.84,19885.5201729,3854609.230314936
1634961600000,2021-10-23 04:00:00,LTC/USD,193.61,199.78,188.88,198.31,16686.5411814,3309107.981683434
1634875200000,2021-10-22 04:00:00,LTC/USD,200.49,200.49,188.0,193.61,23991.8255643,4645057.347504123
1634788800000,2021-10-21 04:00:00,LTC/USD,208.85,211.84,195.22,200.49,50722.6883064,10169391.778550137
1634702400000,2021-10-20 04:00:00,LTC/USD,185.8,214.64,185.8,208.85,35511.3186275,7416538.895353374
1634616000000,2021-10-19 04:00:00,LTC/USD,190.98,191.16,183.32,185.8,23375.3708416,4343143.90236928
1634529600000,2021-10-18 04:00:00,LTC/USD,185.8,191.67,178.57,190.98,38603.5365549,7372503.411254801
1634443200000,2021-10-17 04:00:00,LTC/USD,187.24,188.11,176.8,185.8,19791.9209283,3677338.90847814
1634356800000,2021-10-16 04:00:00,LTC/USD,189.4,192.1,183.72,187.24,25241.5537148,4726228.517559152
1634270400000,2021-10-15 04:00:00,LTC/USD,184.34,193.21,177.81,189.4,59753.9038449,11317389.38822406
1634184000000,2021-10-14 04:00:00,LTC/USD,180.53,186.15,176.59,184.34,9269.0580924,1708658.168753016
1634097600000,2021-10-13 04:00:00,LTC/USD,174.19,180.95,167.72,180.53,51135.0677581,9231413.782369792
1634011200000,2021-10-12 04:00:00,LTC/USD,173.65,175.84,166.52,174.19,47601.7313257,8291745.579623682
1633924800000,2021-10-11 04:00:00,LTC/USD,180.31,183.32,172.3,173.65,16147.7029769,2804048.621938685
1633838400000,2021-10-10 04:00:00,LTC/USD,181.88,184.06,172.6,180.31,32587.7154206,5875890.967488387
1633752000000,2021-10-09 04:00:00,LTC/USD,177.7,182.87,176.13,181.88,33063.8927701,6013660.817025788
