https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1633406400000,2021-10-05 04:00:00,DOGE/USD,0.2424,0.26789,0.23289,0.25429,28449040.81389587,7234306.5885655815
1633320000000,2021-10-04 04:00:00,DOGE/USD,0.21619,0.24899,0.21273,0.2424,32894684.69280692,7973671.569536397
1633233600000,2021-10-03 04:00:00,DOGE/USD,0.21937,0.22695,0.21619,0.21619,5562878.95754251,1202638.801831115
1633147200000,2021-10-02 04:00:00,DOGE/USD,0.21684,0.22488,0.21533,0.21937,12192658.57644888,2674703.511915591
1633060800000,2021-10-01 04:00:00,DOGE/USD,0.20252,0.22512,0.20208,0.21684,13515271.42903629,2930651.456672229
1632974400000,2021-09-30 04:00:00,DOGE/USD,0.20337,0.20592,0.19955,0.20252,6074061.29936308,1230118.894347011
1632888000000,2021-09-29 04:00:00,DOGE/USD,0.19937,0.20371,0.19486,0.20337,2440697.72711873,496364.69676413614
1632801600000,2021-09-28 04:00:00,DOGE/USD,0.20162,0.20261,0.1949,0.19937,4987362.02102725,994330.3661322028
1632715200000,2021-09-27 04:00:00,DOGE/USD,0.2069,0.20873,0.19869,0.20162,3780211.02319642,762166.1464968622
1632628800000,2021-09-26 04:00:00,DOGE/USD,0.20516,0.20929,0.19437,0.2069,14098177.62812241,2916912.9512585266
1632542400000,2021-09-25 04:00:00,DOGE/USD,0.21167,0.21271,0.20265,0.20516,6303177.39255192,1293159.873855952
1632456000000,2021-09-24 04:00:00,DOGE/USD,0.22254,0.2235,0.19702,0.21167,19524261.17469435,4132700.3628475536
1632369600000,2021-09-23 04:00:00,DOGE/USD,0.22518,0.22885,0.21776,0.22254,9966238.34424254,2217886.6811277345
1632283200000,2021-09-22 04:00:00,DOGE/USD,0.20292,0.23028,0.20292,0.22518,9419921.50999656,2121177.9256210253
1632196800000,2021-09-21 04:00:00,DOGE/USD,0.20871,0.21823,0.19777,0.20292,24264167.10937482,4923684.789834338
